"barcode"	"name"	"batch"	"condition"	"strain.int"	"Glucose.Avg.g.L."	"Xylose.Avg.g.L."	"Pyruvate.Avg.g.L."	"Xylitol.Avg.g.L."	"Succinate.Avg.g.L."	"Lactate.Avg.g.L."	"Glycerol.Avg.g.L."	"Formate.Avg.g.L."	"Acetate.Avg.g.L."	"Ethanol.Avg.g.L."	"Cellobiose.Avg.g.L."	"Glucose_consumed"	"Percent_glucose_consumed"	"Percent_yield"	"Blank_glucose"
"100"	"I0035764"	"20191014-f-95"	20191014	"f"	95	12.9107826592	0	0	0	0	0	0.7623007602	0	0.5991401334	1.0837105991	0	9.0995501056	41.3421741635476	23.2839960387399	22.0103327648
"119"	"I0035826"	"20190916-f-63"	20190916	"f"	63	12.7079068853333	0	0	0	0	0.127525955733333	0.3057802405	0.7202392351	0	0.1159586507	0	9.7618939328	43.4445058583789	2.3223794782931	22.4698008181333
"84"	"I0035709"	"20190924-t-80"	20190924	"t"	80	11.5956596992	0	0	0	0	0	0.5840135993	0.721580089	0	0.9174600936	0	9.0935814048	43.9531897718659	19.7249695110335	20.689241104
"175"	"I0037249"	"20200106-t-5"	20200106	"t"	5	12.9536769536	0	0.5358081148	0	0	0	0.7640108715	0	0	0.0957293137	0	10.1608870784	43.9588091055197	1.84194830325389	23.114564032
"225"	"I0037523"	"20191014-f-142"	20191014	"f"	142	12.1796969824	0	0	0	0	0	0.1161512752	0	1.51029001864	1.0034566591	0	9.8306357824	44.6637308370078	19.9563508100291	22.0103327648
"684"	"I0044231"	"20191216-t-284"	20191216	"t"	284	12.9118888416	0	0	0	0	0.14284436	0.9900844543	0.7192762875	0.1686532816	0	0	10.6475514848	45.1944160696749	0	23.5594403264
"223"	"I0037502"	"20190916-f-60"	20190916	"f"	60	12.2330219402667	0	0	0	0	0.0424333850666667	0.780425914	0	0.0717709342	1.46570353613333	0	10.2367788778667	45.5579422386579	27.9928379367965	22.4698008181333
"321"	"I0040640"	"20191014-f-134"	20191014	"f"	134	11.7987090272	0	0	0	0	0	0	0	0.30230468956	0.6590870947	0	10.2116237376	46.3946812922834	12.6186275016496	22.0103327648
"637"	"I0044029"	"NA-t-323"	NA	"t"	323	12.5959278368	0	0	0	0	0	0.6855971574	0	0	0.1102081933	0	10.9413726272	46.485248569328	1.9692741967398	23.537300464
"41"	"I0035539"	"20200106-f-2"	20200106	"f"	2	12.2953506944	0	0	0	0	0	0.4097894492	0	0	0.0516868544	0	10.8192133376	46.8069106673255	0.934003566010799	23.114564032
"273"	"I0040556"	"20191014-t-134"	20191014	"t"	134	11.4682667616	0	0	0	0	0	0	0.0138347768	1.09282118796	1.0181308755	0	10.5420660032	47.8959864707697	18.8817391436644	22.0103327648
"363"	"I0040711"	"20191014-t-136"	20191014	"t"	136	11.3704128576	0.1876970299	0	0	0	0	0	0	0	0	0	10.6399199072	48.340568136325	0	22.0103327648
"649"	"I0044055"	"20191119-t-231"	20191119	"t"	231	5.989572336	0	0	0	0	0.1349479472	0	0.754868985	0	0.0533025293	0	5.6710116224	48.6340276150127	1.83760175397946	11.6605839584
"267"	"I0040544"	"20191028-f-173"	20191028	"f"	173	6.2083802592	0	0	0	0	0.1280766448	0.2952709297	0.7214645537	0.12062157804	0.0642197372	0	5.9897110592	49.1036745245949	2.09617128692913	12.1980913184
"350"	"I0040686"	"20200106-f-14"	20200106	"f"	14	11.6566330496	0	0	0	0	0.1278649568	0.2924658683	0	0.05163811108	0.0755349899	0	11.4579309824	49.5701799373657	1.28886102257402	23.114564032
